conference,ridge_conf,lasso_conf,elastic_conf,ridge_conf_per40,lasso_conf_per40,elastic_conf_per40
Big 12,8.464598192450576e-4,0.0023795676551058827,0.0023429055822585024,0.033858392769802306,0.0951827062042353,0.0937162232903401
Big Ten,7.74557829028164e-4,8.629425936412587e-4,9.791717707703781e-4,0.03098231316112656,0.034517703745650344,0.039166870830815124
ACC,7.535527408305795e-4,4.899988896599533e-4,5.82449582011543e-4,0.03014210963322318,0.019599955586398134,0.023297983280461718
Big East,7.476112180936299e-4,0.0017580625213478639,0.0017309479553164378,0.029904448723745196,0.07032250085391456,0.06923791821265751
SEC,7.253943904639603e-4,5.876826068747998e-4,6.782690614594936e-4,0.029015775618558413,0.023507304274991994,0.027130762458379747
Pac-12,4.1350917043693307e-4,0,0,0.016540366817477323,0,0
American,3.270600491003152e-4,0,0,0.013082401964012606,0,0
WCC,1.8671351284372154e-4,0,0,0.007468540513748861,0,0
A-10,1.8388484050126263e-4,-7.388632572979482e-4,-4.939916062436483e-4,0.007355393620050505,-0.02955453029191793,-0.019759664249745932
MVC,-3.437645569528474e-5,-8.52046519738406e-4,-6.23091905349579e-4,-0.0013750582278113897,-0.03408186078953624,-0.024923676213983163
Other,-0.0011414009452894618,-0.005561375495631773,-0.0052890521723156815,-0.045656037811578475,-0.2224550198252709,-0.21156208689262726
